domain,n_total,n_minority,moe_95,tier,flagged,flag_reason
pops,400,0,999.0,unreliable,True,100% single-class — no minority class samples; label variance is zero
real-life trial,121,60,0.116,marginal,True,Only 121 samples total (60 minority); too small for reliable LODO fold
ultimate deception,376,137,0.077,reliable,False,
MU3D,320,160,0.071,reliable,False,
box of lies,1067,185,0.066,reliable,False,
li et al 2015 doctor,556,199,0.064,reliable,False,
li et al 2015 restaurant,400,200,0.064,reliable,False,
bluff,753,250,0.057,reliable,False,
cross cultural deception,600,300,0.052,reliable,False,
negative deceptive opinion spam,800,400,0.045,reliable,False,
deceptive opinion spam,800,400,0.045,reliable,False,
boulder lies and truth,1492,438,0.043,reliable,False,
stony brook reviews,1000,500,0.04,reliable,False,
zeng et al 2022 job scams,14343,608,0.036,reliable,False,
li et al 2015 hotel,1880,799,0.032,reliable,False,
tripadvisor deceptive opinion,1600,800,0.032,reliable,False,
stony brook opinions,1600,800,0.032,reliable,False,
fake job postings,17880,865,0.031,reliable,False,
derev,4487,1784,0.021,reliable,False,
hippocorpus,6854,2755,0.017,reliable,False,
open domain,7168,3584,0.015,reliable,False,
zeng et al 2022 political statements,12812,5653,0.012,reliable,False,
zeng et al 2022 phishing,15336,6134,0.011,reliable,False,
stapel science fraud,23447,6356,0.011,reliable,False,
zeng et al 2022 product reviews,20976,10481,0.009,reliable,False,
nazario trec 2007 email spam,53668,23742,0.006,reliable,False,
trec 2005 email spam,55075,24684,0.006,reliable,False,
zeng et al 2022 fake news,62101,27485,0.005,reliable,False,
